Artist,Album
Inner City,Praise
Inner Orchestra,Live 2000
Inner Thought,Perspectives
"Innerzone Orchestra, The",Carl Craig
"Innocence Mission, The",The Innocence Mission
"Innocence Mission, The",boyfriend
"Innocence Mission, The",Wonder of Birds 
Insane Clown Posse,F**K the World 
Insane Clown Posse,The Great Milenko
Insane Clown Posse,Let's Go All The Way
Insane Clown Posse,Homies
Insane Clown Posse,Chicken Hunting
Insane Clown Posse ,The Amazing Jackle Brothers 
Insect Surfers,Reverb Sun 
"Insects, The",Return to the Foreign Legion
Insides,Euphoria
Inspecter 7,The Infamous
Inspection 12,In Recovery
"Instruments, The ",Billions of Phonographs
"Intelligence, The ",Males
Intelligent Hoodlum,Tragedy
Intelligent Hoodlum,Intelligent Hoodlum
Intelligent Hoodlum,The Posse (Shoot 'Em Up)
Interfearance,Take That Train
Intermix,Phaze Two
Internal/External,Featuring...
International Jetsetters,Heart is Black
"International Noise Conspiracy, The",Armed Love
International Waters,1994
"Interpreters, The",Back in the U.S.S.A
Interrogations and Confessions,Oh My God
Interstate ,Royale
Into Another,Creepy eepy
Into Another,Ignaurus
Into Another,Seemless
Into Paradise,Churchtown
Into Paradise,Burns my Skin
Into Paradise,Chrysalis
Intonarumori ,Self-titled 
Intricate ,Vail 
Intro ,Let me be the one 
Intruder ,Psycho Savant 
Invaders From a Forbidden Planet,Queen City 
"Invisble Kid, The ",The Entrance 
Invisible Downtown,Invisible Downtown
Invisible Hands Music,Contemporary Formation
Ionia ,Ep
Iori's Eyes,Double Soul
IQU,Teenage Dream 
Irana George ,All Rise 
Irie Time,Live Up!
Iris DeMent ,My life
Iris DeMent ,Infamous Angel 
Irish Car Bomb ,Tacos & Pornos 
Irma on Canvas ,Exhibition #1
Iron and Wine,Around the Well
Iron and Wine,Calexico
Iron and Wine,Ghost on Ghost
Iron and Wine,Woman King
Iron and Wine,The Creek Drank the Cradle
Iron and Wine,Boy with a Gun
Iron and Wine,The Sea and the Rhythm
Iron and Wine ,Kiss Each Other Clean
Iron and Wine ,Our Endless Numbered Days 
Iron and Wine ,The Shepherd's Dog 
Iron Lung Corp,"Ditch the Attitude, Pally"
Iron Maiden,A Matter of Life and Death
Iron Maiden,Virus
Iron Maiden,The Reincarnation of Benjamin Breeg
Iron Savior,Unification
"Irresistable Force, The",Global Chillage
"Irresistible Force, The",It's Tomorrow Already
"Irresponsibles, The",Aggravator
Irving,"Death in the Garden, Blood on the Flowers"
Irving Philharmonic,Perpetual Motion Sickness
Is That The Tralala,Is That The Tralala
Isaac Allen,Don't Smoke
Isaac Delgado,La Formula
Isaac Green and the Skalars,Skoolin' with the Skalars
Isaac Haile Selassie,Dear Bob
Isaac Haves,Branded
Isaac Hayes,Black Moses: The Old School Revival!
Isaac Hayes,Ike's Mood
Isidore,Self-Titled
Isis,In the Absence of Truth
Island Apollo,Self Titled
Islands,Arms Way
Islands return to the sea,Self Titled
Isle of Q,Isle of Q
ISM ,I Think I Love You
Ism ,Monkey Underneath
ism ,Breathe
Isobel Campbell,Amorino
Isobel Campbell&Mark Lanegan,Ballad of the Broken Seas
Isobella,Surrogate Emotions of the Silver Screen
Israel Kamakawiwo'ole,Alone In Iz World
Issa Bagayogo,Tassourmakan
Issac Adalberto,"El chévere de la Salsa, El Caballero del Son"
Itsawhale,Tale of the Artful Dodgers
Itzel Damaris,A Lot Like Love
Ivet,Sickhouse
Ivy ,Apartment Life
Ivy ,Guestroom
Iza,Animal Song
Iza,Independence
Izler,Self Titled
Izzy Stradlin,Pressure Drop
