Artist,Album,Location
Blue October,Dirt Room 3:25,
Blue October,Foiled,
Blue October,Approaching Normal,
Blue Plate Special,A Night out with Blue Plate Special,
Blue Rodeo,Lost Together,
Blue Rodeo,5 Days in May / Hasn't Hit Me Yet,
Blue Rodeo,Five Days in July,
Blue Rodeo ,Daze in America,
Blue Room Released,Trip Through Sound,
Blue Scholars,Joe Metro (EP),
Blue Scholars,Aloha from Oof!,
Blue Six ,Beautiful Tomorrow,
Blue Sky Black Death,Third Party,
Blue Sky Mile,Sands Once Seas,
Blue States,Man Mountain,
Blue States,Nothing Changes Under the Sun,
"Blue Van, The",The Art of Rolling,
"Blue Veins, The","Blue Veins, The",
Blue-Eyed Son,West of Lincoln,
"Bluenotes, The Wellesley College",Midnight at Joe's (1998),
Blues Control,Puff,
Blues Explosion!,"Experiemntal Remixes, Extending Playing: Lo-fi Demonstrational",
Blues Traveler,Blow Up the Moon,
Blues Traveler,Blues Traveler,
Blues Traveler,All in the Groove,
"Blues Tribute to the Doors, The",Opening the Doors,
Blueskins,Change My Mind,
Bluetip,Join Us,
"Bluetone, The",Self-Titled,
Bluezeum,Portrait of a Groove,
Blunt Mechanic,World Record,
Blur,Music is My Radar,
Blur,Blur: The Best of Blur,
Blur,Tender,
Blur,Leisure,
Blur,The Great Escape,
Blur,Modern Life is Rubish,
Blur,Blur,
Blur,Think Tank,
Blur,Parklife,
Blur,Chemical World,
Blush,Falling You,
BMX Bandits,Theme Park,station
Bo Bud Greene,Las Olas,
Boa,Twilight,station
Boards of Canada,Geogaddi,station
Boards of Canada,Twoism,storage
Boards of Canada,In a Beautiful Place Out in the Country,storage
Boat,Dress Like Your Idols,station
Boat,Setting the Places,station
Bob Blank,The Blank Generation: Blank Tapes NYC 1975-1985,storage
Bob Cheevers,The Stories I Write,storage
Bob Dylan,Tell Tale Signs,storage
Bob Dylan,No Direction Home,station
Bob Dylan,Series of Dreams,station
Bob Dylan,Time out of Mind,station
Bob Dylan,"Four Sons From ""LOVE AND THEFT""",
Bob Dylan ,Modern Times,storage
Bob Dylan ,Good As I Been to You ,station
Bob Dylan ,World Gone Wrong ,storage
Bob Franke,The Other Evening in Chicago,storage
Bob Holman,In With the Out Crowd,station
Bob Katz,Caught in a Butt Sandwich,
Bob Kendall,Midnight Flower,storage
Bob Mamet ,Signs of Life,trash
Bob Mamet ,Signs of Life,storage
Bob Mamet ,Day into Night,storage
Bob Marley,Iron Lion Zion,
Bob Marley & the Wailers,Natural Mystic,station
Bob Mould,Egoverride,
Bob Mould,The Last Dog and Pony Show,
Bob Mould,Bob Mould,
Bob Mould,Modulate,storage
Bob Mould,District Line,
"Bob Pressner Band, The",Summer in Illusion Land,storage
Bob Schneider,Lonelyland,storage
Bob Tilton,The Leading Hotels of the World,station
Bobb Trimble ,Iron Curtain Innocence,storage
"Bobby ""Blue"" Bland ",Years of Tears,station
"Bobby ""Blue"" Bland ","""Live"" on Beale Street",storage
"Bobby ""Blue"" Bland ",Memphis Monday Morning,station
"Bobby ""Blue"" Bland ",Blues at Midnight,
"Bobby ""Blue"" Bland ",Sad Street ,storage
Bobby Cheek,Bobby Cheek,
Bobby Gaylor,Fuzzatonic Scream, station
Bobby Hicks,Fiddle Patch,
Bobby Hughes Combination,Nhu Golden Era,station
Bobby Konders & Massive Sounds,Bobby Konders & Massive Sounds,
Bobby Lyle,Rhythm Stories,
Bobby McFerrin,Chick Corea,
Bobby Rush,One Monkey Don't Stop No Show,
Bobby Rush,Hoochie Man,
Bobby Rush,Lovin' a Big Fat Woman,
Bobby Sichran,Introducing Bobby Sichran,
Bobby Sichran,From a sympathetical hurricane,
Bobgoblin,The Twelve-Point Master Plan,
Bobu Cespedes,Rezos,
Bodea Sonica,Caquiri - Caquiri,
Bodeans,Blend,
Bodeans,Go Slow Down,station
Bodeans,Closer to Free,storage
"Body Lingo, Various",Body Lingo,storage
"Boggs, The",The Boggs,station
"Boggs, The",We Are the Boggs We Are,station
"Bogle, Various",Bogle,storage
boho zen,This is where we are,station
boho zen,Releas Me,station
Boiled in Lead,Orb,station
Bojibian,All NIght. All Day,
Bomb the Bass,Clear,
Bomb the Bass,Bug Powder Dust,
Bomb the Bass,Love So True,
Bombadil,"A Buzz, a Buzz",
Bombay 2: Electric Vindaloo,,
"Bombshells, The",Audio Wasteland,
Bon Iver,"For Emma, Forever Ago",
Bon Savants,The Bon Sevants: Details,
Bon Savants,Post Rock Defends the Nation,
Bonde Do Role,Solta o Frango,
Boneheads,Donkey,
"Boneless Children Foundation, The",Stars For Anyone,
Boney James & Rick Braun,Words + Music,
Bonobo ,Black Sands,
Boo and Boo Too,No Tempo,
"Boo Radleys, The",Everything's Alright Forever,
"Boo Radleys, The",Barney (...And Me) ,
"Boo Radleys, The",Kingsize,
"Boo Radleys, The",Giant Steps,
"Boo Radleys, The",Ride The Tiger,
"Boo Radleys, The",Boo! Forever,
"Boo Radleys, The",The Lazurs EP,
"Boo Radleys, The",Wake Up!,
"Boo Radleys, The",Lazy Day,
"Boo Radleys, The",C’mon Kids,
Boo Yaa Tribe,Rumor of a Dead Man,
Boo Yaa Tribe,West Kostyra Nostra,
"Booda Velvets, The",Headrush,
Boog ,Juswiggin ,
Book of Love,Boy Pop,
Book of Love,Best of,
Book of Love,Lovebubble ,
Book of Love,Counting the Rosaries,
Booked,Danny the Wildchild,
Books on Tape,The Business End,
Books on Tape,Sing the Blues,
"Books, The",Lost and Safe,
Boom Bip,Blue Eyed in the Red Room,
Boom Bip,Seed to Sun,
Boom Boom Satellites,Out Loud,
"Boom, The",Any Day of the Night,
Boompa,For Paolo,
Boosty,The Funk Capital of the World,
Booth and the Bad Angel,Self-Titled,
BopKick,Homegrown Jazz,
Boris Kovac and Ladaaba Orchest,The Last Balkan Tango,
"Born Again, The",Floozies,
Born Ruffians,Red Yellow and Blue,
"Bosch, The","Buy One, Get One",
"Bosch, The",Hurry Up,
Bosco Money,Secret Agent,
Boss Hog,Boss Hog: Promo,
Boss Hog,Whiteout,
Boss Hog,I Dig You,
Boss Hog,Gremlin,
Bossacucanova & Roberto Menescal,Brasilidade,
Bossman and the Blakjak,Ghetto Parade,
Boston,Don't Look Back,
Boston,Corporate America,
"Botswanas, The",Fade and You're Gone,
Bottle Rockets,24 Hours A Day,
Bottomless Pit,Hammer of the Gods,
"Bouncing Souls, The",Anchors Aweigh,
"Bouncing Souls, The",The Gold Record,
"Bouncing Souls, The",Hopeless Romantic,
Bound Stems,The Family Afloat,
Bound Stems,Appreciation Night,
Bourbon Princess,Black Feather Wings,
Bow Man ,believe,
Bowery Electric,Lushlife,
"Bowling Green, The",One Pound Note,
box_,HELLO special glowing WORLD!,
Boxed Wine,"Cheap, Fun E.P.",
Boxing Gandhis,Howard,
"Boxmasters, The",Christmas Cheer,
"Boy Bathing, The",A Fire to Make Preparations,
Boy George,Same Thing in Reverse,
Boy George,funtime,
Boy George,Cheapness and Beauty,
Boy Girl Party,Dear Dear,
Boy in Static,Candy Cigarette,
"boy least likely to, the",The Law Of The Playground,
"Boy Least Likely To, The",the best party ever,
Boy Wonder,Wonder-Wear,
Boy Wonder,"Break the Spell, Etc.",
Boys LIke Girls,Boys Like Girls,
Boys Noize,OiOiOi,
Boys Noize,Power,
Boysetsfire,In Chrysalis,
Boysetsfire,Live for Today,
Boysetsfire,Tomorrow Come Today,
Boysetsfire,Cliff Notes of Boysetsfire,
Boyskout,Another Life,
Boyz II Men,Thank You In Advance,
Boz Scaggs,Dig,
Boz Scaggs,Payday,
BP Major,Intergalactic Gala,
Bracken,We Know About the Need,
Bracket,Novelty Forever,
Bracket,4-Wheel Vibe,
Brad Mehldau,Largo,
Brad Warren,Company Might Come,
Braden Land,Stumble and Glow,
Bradley N. Litwin,"I'll Give You the bus Money, Honey!",
Braid ,Frame and Canvas,
"Brain Boggess Group, The",Debut EP,
Brain Failure & Big D And the Kids Table,Bejing to Boston,
Brainscapes,Brainscapes,
Brakes,Give Blood,
Bramble,Clever Raven,
Bran Van 3000,Glee,
Brandeis-Wellesley Orchestra Equestrian Team,(unknown),
Brandenburg,Keeper of Time,
Brandi Carlie,The Story,
Brandi Carlile,The Story,
Brandnew,Your + Favorite + Weapon,
Brandnew,Your Favorite Weapon (PROMO),
Brandon Cruz,Eddie is a Punk,
Brandon Lee,The Crow,storage
Brandon McHose,Token,
Brandon Stevens ,The Person With the Telescope is Me,
Brandon Wiard,Painting a Burning Building,
Brass Roots,Purple Cha Cha Heels,
Brassy,Gettin Wise,
Brassy,Got It Made,
Bratface,Attention Deficit Disorder ,
"Bravado, The",Intimate with Slaves,
"Bravado, The",The Bravado ,
"Bravery, The",The Bravery,
"Bravery, The",trash,
Bravo Johnson,Come Taste the Sun,
Brazil,Philosophy of Verocity,storage
Brazil,A Hostage and the Meaning of Life,storage
Brazilian Girls,Talk Tolabomb,Station
Brazzaville,Somnambolista,Station
Brazzaville,Rouge on Pockmarked Cheeks,Station
Bre Loughlin,Modern American Photo Album,Station
"Break and Repair Method, The",Milk the Bee,Station
"Break Mission, The",As Much Light as it Will Take,station
"Break, The",Handbook for the Homeless,Storage
Breakbeat Era,Ultra-Obscene,station
"Breakers, The",Here for a Laugh,storage
Breaking Benjamin,Saturate,Trash
Breakup Breakdown,She Went Back,Station
"Breakups, The",Eat Your Heart Out,Station
"Breeders, The",Last Splash,Storage
"Breeders, The",from the album title TK,
"Breeze Way, The",The Red LP,
"Breeze Way, The",Halcyon Surgery,
Brenda Khan,Destination Anywhere,
Brenda Khan,Epiphany in Brooklyn,
Brenda Khan,Goldfish Don't Talk Back,
Brenda Khan,"I Don't Sleep, I Drink Coffee Instead",
Brenda Russell,Kiss Me With the Wind,Storage
Brenda Xu,For the Winter,Station
Brendan Benson,One Mississippi,
Brendan Benson,The Alternative to Love,
Brendan Hogan,Silverquick,
Brendan Kelley,Quicksand,
Brendan Lynch,Brendan Lynch,
Brendan Perry,Eye of the Hunter,storage
Brennan Dignan,Idaho,Storage
Brent Amaker and the Rodeo ,Please Stand By,station
Brentaider ,Pieces,
Brentley,Southern Boi,storage
Bret L. Thompson,Sleepless Nights,station
Bret Mosley,Light and Blood,Storage
Brett Dennen,Hope For The Hopeless,Storage
Brett Dennen,Make You Crazy,Storage
"Brevet, The",Battle Of The Heart,Storage
"Brew, The",Back To The Woods,Storage
Briad,Movie Music Vol. 1&2,
Brian Ashley Jones,Out of the City,
Brian Eno,Small Craft On A Milk Sea,station
Brian Eno,Ali Click,station
Brian Gottesman,Pardon My Mess,station
Brian Hughes,shakin' not stirred,station
Brian Hughes,Straight to you,storage
Brian Jones,The Pipes of Pan at Jajouka (Remixes),storage
"Brian Jonestwon Massacre, the",station,station
"Brian Jonestwon Massacre, the",Tepid Peppermint Wonderland: A Retrospective,storage
"Brian Jonestwon Massacre, the",...And This Is Our Music,station
Brian Keane,Common Planet,storage
Brian Kingston,Songwriters are Cowards,
Brian Larsen,Breaking,storage
Brian P. Banks,The Crappy Christmas Song,storage
"Brian Setzer Orchestra, The",VaVoom!,storage
"Brian Setzer Orchestra, The","Brian Setzer Orchestra, The",station
Brian Stevenson,prettier than You,station
Brian Wilson,Smile,Station
Brian Wilson,Imagination,storage
Brian Wilson,That Lucky Old Sun,
Brian Wilson and Van Dyke Parks,Orange Crate Art,
Brice,Brice,
Brice,Cabin Capers,
Brice,what happens in spacecamp stays in spacecamp,
Brick + Mortar,Making Moves,
Brickbat,Brickbat,
"Brides of Obscurity, The",Extended Play,
bridge Club,summer of the jackal,
"Bridges, The",Limits of the Sky,
"Briefs, The",The Briefs,
"Briefs, The",Steal Yer Heart,
Bright Eyes,"I'm Wide Awake, It's morning ------ Digital Ash in a Digital Urn",keep
Bright Eyes,Letting Off the Happiness,
Bright Eyes,Four Winds,
Bright Eyes,Fevers and Mirrors,
Bright Eyes,Every Day and Every Night,
Bright Eyes,10 Song Sampler CD,
Bright Eyes,Lifted or the Story is the Soil Keep Your Ear to the Ground,
Bright Eyes ,The People's Key,
Bright Eyes/Neva Dinova,"One Jug of Wine, Two Vessels",
"Bright Grey Wing, The",Homecoming,
"Bright Grey Wing, The",I,
Bright Leaf Left,Ice Palace,
Brighton MA,Amateur Lovers,
Bril ,Airless Alarm,
Bring Back Joel,Bring Back Joel,storage
Briqmen,Radioman,
Brite Phoenix,Visions,
British Sea Power,The Decline of British Sea Power,
Britta Phillips & Dean Wareham,L'Avventura,
Brittany Smooch,Brittany Smooch (RADIO PROMO),
Bro Dylan,Crisis,station
Broadcast,Pendoulum,
Broadcast,Tommy Boy,
Broadcast Live,Underground,
Broaddaylight,Anniversaries: Reunions,
Broadway Project,Compassion,
Broken Guru,Bent Up Halo,
Broken Hope,The Bowels of Repugnance,
Broken Social Scene,You Forget It In People,
Broken Social Scene presents: Kevin Drew,Spirit If,
Broken Spindles,Fulfulled/Complete,
"Broken West, The",Now or Heaven,
Bronx River Parkway,San Sebastian 152,
"Bronzed Chorus, The",Gleaning,
"Brood, The",Hitsville,
Brooke Waggoner,Go Easy Little Doves,
Brooklyn Brothers,The Album,
Brooklyn Funk Essentials,The Creator Has a Master Plan,
Brooks Williams,Hundred Year Shadow,
Brooks Williams,Little Lion,
Brooks Williams,Nectar,
Brookville,Life in the Shade,
Brookville,Wonderfully Nothing,
Brother,Darling Buds of May,
Brother Ali,The Undisputed Truth,
Brother Big Bad,Brother Big Bag,
Brother Grey,Boddhisattva EP,
Brother Joscephus and the Love Revolution,"Revolution of Love, Single edits",
Brother Joscephus and the Love Revolution,Revolution of Love,
Brother Noland,mystical fish,
"Brothers Comatose, The",Respect the Van,
"Brothers Dimm, The",To Oblivion,
Brothers Lazaroff,"Hope, Fear, Youth",
"Brothers Martin, The","Brothers Martin, The",
Brothers Past,This Feeling Called Goodbye,
Brothers Quetico,quid bro quo,
Brothomstates,Qtio,
Brothomstates,Claro,
brown shoe,the wheat patch,
brown25,lunar modular unit,
Bruce Cockburn,Listen for the Laugh,
Bruce Cockburn,Dark to the Heart,
Bruce Cockburn,Nothing but a Burning Light,
Bruce Doing,Christmas Songs,
Bruce Fowler,Ants Can Count,
Bruce Hornsby,Big Swing Face,
Bruce Hornsby and the Range,Across the River,
Bruce Potter,Self-Titled,
Bruce Springsteen,Magic,
Bruce Springsteen,Human Touch,
Bruce Springsteen,Working on a Dream,
Bruce Springsteen,Devils and Dust,
Bruce Springsteen,We Shall Overcome: The Seeger Sessions,
Bruce Springsteen,All I'm Thinking About,
Bruce Springsteen,The Ghost of Tom Joad,
Bubba Sparxxx,Devilerance (SAMPLER),
"Buck Dewey, The",Big Band,
Buck O Nine,Water in My Head,
Buck O Nine,Pass the Dutchie,
Buck O Nine,Twenty-Eight Teeth,
Buck O Nine,Libido,
Buck O Nine,Barfly,
"Buck Pets, The",Living is the Biggest Thing ,
Buck65 ,Situation,
Buckethead,Colma,
Buckfast Superbee,You Know How the Song Goes,
Buckfast Superbee,Buckfast Superbee,
Buckra,Camouflage Playboys International,
Buckra,So Many Weapons,
Buckwheat,Five Card Stud,
Buckwheat,Zydeco,
Buckwheat Zydeco,Where There's Smoke There's Fire,
"Buddy Rich Big Band, The",Burning for Buddy,
Buddyhead ,Suicide,
Buena Vista Social Club,Buena Vista Social Club at Carnegie Hall,
Buffalo Daughter,Captain Vapour Athletes,
Buffalo Daughter,I,
Buffalo Daughter,New Rock,
Buffalo Daughter,"Socks, Drugs, and Rock and Roll",
Buffalo Tom,B-Sides EP,
Buffalo Tom,I'm Allowed.,
Buffalo Tom,Sleepy Eyed,
Buffseeds,Sparkle Me EP,
Buffy Sainte-Marie,Selected Tracks,
Building,Rain,
Building Pictures,Training Up My Soul,
Built to Spill,Ancient Melodies of the Future,
Built to Spill,Caustic Resin,
Built to Spill,Conventional Wisdom,
Built to Spill,Keep it Like a Secret,
Built to Spill,Live,
Built to Spill,Perfect From Now On,
Built to Spill,There is No Enemy,
Built to Spill,Time Trap,
Built to Spill,Untrustable,
Built to Spill,You in Reverse,
Buju Banton,Till Shiloh,
Buju Banton,Words and Music,
Bullet Boys,12 Minute Warning,
Bullet for My Valentine,Walking the Demon,
Bullfrog ft. Kid Koala,Self-Titled,
Bumblebeez 81,Printz,
Bunky,Born to Be a Motorcycle,
Bunny Rabbit,Black Cracker,
Burd Early,Leveler,
Burger/Ink,[Los Vegas],
Burke,We Are One (ck one track),
Burmese,Men,
Burn What's Left,Sidewalk,
Burn Witch Burn,Burn Witch Burn,
Burning Airplanes,Mission: Control!,
Burning Brides,Leave no Ashes,
Burning Sky,Creation,
Burning Spear,Hail H.L.M,
Burnside Project,The Finest Example is You,
Busdriver,Road Kill Overcoat,
Bush,Warm Machine,
Bush,Swallowed,
Bush,The Science of Things,
Bush,Razorblade Suitcase,
Bush,Golden State,
Bush Tetras,Beauty Lies,
Bush Tetras,Page 18,
"Business, The",Death II Dance,
"Business, The",Harry May - The Singles Collection,
"Business, The","The Truth, the Whole Truth, and Nothing But the Truth",
Businessmen & Ghosts,Working for a Nuclear City,
Busta Rhymes,I Love My B****,
Busta Rhymes,When Disaster Strikes,
Buster Poindexter,Buster Poindexter,
Busy Signals,Pure Energy,
Butch Walker,Left of Self-Centered,
Butch Walker ,Letters,
Butch Walker and the Let's Go Out Tonites,The Rise and Fall Of,
"Butchies, The",Population 1975,
Butterflies,,
Butterfly Joe,Butterfly Joe,
Butthole Surfers,who was in my room last night?,
Butthole Surfers,tales from the weird revolution,
Butthole Surfers,independent worm saloon,
Butthole Surfers,ELECTRICLARRYLAND,
"Buttless Chaps, The",Cartography,
"Button Pushers, The",Music For 8-Bit Video Games,
Buxter Hoot'n,In Another Life,
Buxter Hoot'n,Buxter Hoot'n,
Buzz Lighter,Direct Connection,
Buzz Lighter,Feed Your Muse,
Buzz Lighter,Takeout,
Buzz Lighter,Motives,
Buzz Lighter,These Are Songs From Sweetheart City,
Buzzcocks,All Set,
Buzzcocks,Trade Test Transmissions Tour 1993,
Buzzcocks,French,
Byard Lancaster,Worlds,
"Bynars, The",Party All Nite,
"Byrds, The",Back Pages,
Bzzzt!,Weird Revolution,
Brian Dewan,Words of Wisdom,Storage
The Brian Boggess Group,Debut EP,Station
Brian Eno,Drums Between the Bells,Station
Brian Cristofono,Before you Go,Station
Brian Eno,The Shutov Assembly,Station
Bodega Sonica,Cáquiri-cáquiri,storage
Boanerges,Boanerges,storage
Bumpin Uglies,Beast from the East,
Blood,This Mortal Coil,
