Artist,Album
Ghosts of Jupiter,Ghosts of Jupiter
Ghoti Hook,Banana Man
Gifrants,Twoubadou Sek 
Gifrants,Serenade
Gift of Gab,The Next Logical Progression 
Gigi Fouquet,You're the Same As Me
Gigolo Aunts,Learn to Play Guitar
Gil Scott-Heron,Don't Give Up/Message to the Messengers
Gil Scott-Heron,Spirits
Gilles Peterson,Digs America
Gillian ,Freak Flag
Gillian Welch,Revival 
Gin House Jed ,Go Out Happy
Gina Forsyth,You Are Here
Gina Nemo,Plastic Wonderland
Ginger Baker Trio,Falling Roof
Gingersol,Eastern
Gingham Shüz,Fallen
Ginkgo,Manopause
Ginuwine,Pony
Gipsy Kings,Love and Liberté
Gipsyland,Viva la Música
Giraffe Running,Giraffe Running
Girl Friday,Going for Adds
Girl in a Coma,Both before i'm gone
Girl In Trouble,
Girls Against Boys,You can't fiht what you can't see
Girls Against Boys,Park Avenue
Girls Against Boys,Freak*On*ICA
Girls and Weather,The Rumble Strips
Girls in Hawaii,From here to There
Girls in Trouble,Girls in Trouble
"Girls, The",Live at the Rathskeller
"Glad Version, The",Lights Out North Star
"Glad Version, The",Smile Pretty Make Nice
Gladhands,La Di Da
Gladiators ,Full Time
Gladshot,Burn Up&Shine
"Glands, THe",The Glands
Glass Girls ,Wig Party
Glass Rock,Tall Firs Meet Soft Locations
"Glass Set, The",Something Unknown 
Glassjaw,Ape Does Mil/Tip Your Bartender
Glassjaw,Glassjaw
Glassjaw,Worship and Tribute
Glasvegas,Glasvegas
Glen Phillips,Abulum
Glen Phillips,Winter Pays for Summer
Glen Washington,Reggae Max
Glenn Eric,Blanket of Stars 
Glenn Frey,I've Got Mine
Gliss,Devotion Implosion
Glisten,The Parlez
Global Communination,The Global Communitcation Remix Album
Global Underground ,Global Underground
Globus,Break From This World
Gloria Estefan ,Cuts Both Ways 
"Gloria Record, The",Start Here
Glorious,Glorious
Glorious Monster,In the Movies 
"Glory of Gershwin, The",The Glory of Gershwin
Gnappy,Is This a Machine?
Gnappy,Is This a Machine?
Gnarles Barkley ,Selections from St.Elsewhere 
Gnarles Barkley ,The Odd Couple
Gnarles Barkley ,Selections from St.Elsewhere 
Gnarles Barkley ,The Odd Couple
Gnarls Barkley,St. Elsewhere
gNotes,Rhymes
Go Betty Go,Nothing is More 
Go Betty Go,Nothing is More 
Go For Launch,Go For Launch
